id,name,price,category,description,imageUrl
product-1,201 kabel,1.5,Elektronika,Yuqori sifatli ehtiyot qism,
product-2,201 komplekt,3.5,Komplektlar,Yuqori sifatli ehtiyot qism,
product-3,201 miya,2.1,Elektronika,Yuqori sifatli ehtiyot qism,
product-4,201 plata,2.0,Elektronika,Yuqori sifatli ehtiyot qism,
product-5,201 Shteker,0.5,Ulagichlar,Yuqori sifatli ehtiyot qism,
product-6,30-01 Atiker Klyuchatel,4.0,Elektronika,Yuqori sifatli ehtiyot qism,
product-7,30-02 Atiker Klyuchatel,2.0,Elektronika,Yuqori sifatli ehtiyot qism,
product-8,30-11 Atiker Klyuchatel,4.0,Elektronika,Yuqori sifatli ehtiyot qism,
product-9,ALEX OPTIMA EXPERT (4CYL),110.0,Komplektlar,Yuqori sifatli ehtiyot qism,
product-10,ALEX OPTIMA PICO (4CYL) 011,68.0,Komplektlar,Yuqori sifatli ehtiyot qism,
product-11,ALEX OPTIMA PICO (4CYL) 013 LED,73.0,Komplektlar,Yuqori sifatli ehtiyot qism,
product-12,ALEX Adapter injektor pryamoye,2.0,Ulagichlar,Yuqori sifatli ehtiyot qism,
product-13,ALEX Adapter injektor troynik,2.0,Ulagichlar,Yuqori sifatli ehtiyot qism,
product-14,ALEX Reduktor Shark 1500,49.0,Reduktorlar,Yuqori sifatli ehtiyot qism,
product-15,ALEX Reduktor Shark Adapt,43.0,Reduktorlar,Yuqori sifatli ehtiyot qism,
product-16,ALEX Filtr Ultra 360 org,8.0,Filtrlar,Yuqori sifatli ehtiyot qism,
product-17,ALEX Filtr Ultra 360 org nasadka,3.0,Filtrlar,Yuqori sifatli ehtiyot qism,
product-18,ALEX Filtr Ultra 360 org nasadka xitoy,0.6,Filtrlar,Yuqori sifatli ehtiyot qism,
product-19,CARB ximchistka 281g (Siniy),0.9,Kimyoviy vositalar,Yuqori sifatli ehtiyot qism,
product-20,CARB ximchistka 281g (Siniy) Arzon,0.73,Kimyoviy vositalar,Yuqori sifatli ehtiyot qism,
product-21,CARB ximchistka 281g (Cherniy),0.9,Kimyoviy vositalar,Yuqori sifatli ehtiyot qism,
product-22,PRINS Diagnostic Cable leather,150.0,Elektronika,Yuqori sifatli ehtiyot qism,
product-23,PRINS MS TECHNOMAX PLUS LPG COMPACT 3C,320.0,Komplektlar,Yuqori sifatli ehtiyot qism,
product-24,PRINS MS TECHNOMAX PLUS LPG COMPACT 4C,330.0,Komplektlar,Yuqori sifatli ehtiyot qism,
product-25,PRINS MS TECHNOMAX PLUS LPG TR AFC-2.2 DPI 3C,360.0,Komplektlar,Yuqori sifatli ehtiyot qism,
product-26,PRINS MS VSI-3 DI LPG BASIS KIT D - 4C 73CC,850.0,Komplektlar,Yuqori sifatli ehtiyot qism,
product-27,PRINS MS VSI-3 DI LPG BASIS KIT F - 6C 82CC,1060.0,Komplektlar,Yuqori sifatli ehtiyot qism,
product-28,PRINS MS VSI-3 DI LPG VAG 4.2 CDRA MY09-14,1600.0,Komplektlar,Yuqori sifatli ehtiyot qism,
product-29,STAG Kabel,25.0,Elektronika,Yuqori sifatli ehtiyot qism,
product-30,Armatura kran Atiker,0.6,Klapanlar va Kranlar,Yuqori sifatli ehtiyot qism,
product-31,Armatura kran Belarusiya,0.8,Klapanlar va Kranlar,Yuqori sifatli ehtiyot qism,
product-32,Atiker krishka,0.6,Boshqalar,Yuqori sifatli ehtiyot qism,
product-33,Atiker kulak plassmassa,0.1,Ulagichlar,Yuqori sifatli ehtiyot qism,
product-34,Benzin klapan fesa,3.5,Klapanlar va Kranlar,Yuqori sifatli ehtiyot qism,
product-35,Benzin Klapn Albiyen,3.5,Klapanlar va Kranlar,Yuqori sifatli ehtiyot qism,
product-36,Benzin krancha,0.3,Klapanlar va Kranlar,Yuqori sifatli ehtiyot qism,
product-37,Binzin klapn FESA,3.5,Klapanlar va Kranlar,Yuqori sifatli ehtiyot qism,
product-38,Binzin klapn albiyen,3.5,Klapanlar va Kranlar,Yuqori sifatli ehtiyot qism,
product-39,Birka domashniy balon,0.8,Boshqalar,Yuqori sifatli ehtiyot qism,
product-40,Blok armatura Atiker Katushka xitoy,15.0,Armatura,Yuqori sifatli ehtiyot qism,
product-41,Blok armatura atiker xitoy,9.0,Armatura,Yuqori sifatli ehtiyot qism,
product-42,Blok armatura Belarussiya,15.0,Armatura,Yuqori sifatli ehtiyot qism,
product-43,Blok armatura Belarussiya 1 kulok,15.0,Armatura,Yuqori sifatli ehtiyot qism,
product-44,Blok armatura Belarussiya arzoni,15.0,Armatura,Yuqori sifatli ehtiyot qism,
product-45,Blok armatura Layduo,8.5,Armatura,Yuqori sifatli ehtiyot qism,
product-46,Blok armatura noviy,10.0,Armatura,Yuqori sifatli ehtiyot qism,
product-47,Blok armatura Tamosseti Xitoy,9.0,Armatura,Yuqori sifatli ehtiyot qism,
product-48,Blok armatura Turkiya NAZORATI,17.0,Armatura,Yuqori sifatli ehtiyot qism,
product-49,Vakum diofragma komplekt,2.5,Remkomplektlar,Yuqori sifatli ehtiyot qism,
product-50,Vakum prokladka komplekt Belarussiya,0.5,Remkomplektlar,Yuqori sifatli ehtiyot qism,
product-51,VZU bak,2.0,Ulagichlar,Yuqori sifatli ehtiyot qism,
product-52,VZU bak fiting,2.0,Ulagichlar,Yuqori sifatli ehtiyot qism,
product-53,VZU EVRO ATIKER xitoy,3.0,Ulagichlar,Yuqori sifatli ehtiyot qism,
product-54,VZU EVRO Albien,2.0,Ulagichlar,Yuqori sifatli ehtiyot qism,
product-55,VZU EVRO Albien Original,3.0,Ulagichlar,Yuqori sifatli ehtiyot qism,
product-56,VZU EVRO ATIKER Original,3.5,Ulagichlar,Yuqori sifatli ehtiyot qism,
product-57,VZU EVRO Saka Filtr Original,10.0,Ulagichlar,Yuqori sifatli ehtiyot qism,
product-58,VZU EVRO Fesa,3.0,Ulagichlar,Yuqori sifatli ehtiyot qism,
product-59,VZU EVRO Xitoy,2.5,Ulagichlar,Yuqori sifatli ehtiyot qism,
product-60,VZU Zapravochniy NAZORATI Xitoy,3.0,Ulagichlar,Yuqori sifatli ehtiyot qism,
product-61,VZU NAZORATI orginal,3.5,Ulagichlar,Yuqori sifatli ehtiyot qism,
product-62,VZU temir,1.5,Ulagichlar,Yuqori sifatli ehtiyot qism,
product-63,VZU TORELLO orginal,4.5,Ulagichlar,Yuqori sifatli ehtiyot qism,
product-64,Vintl Kran Xitoy,4.7,Klapanlar va Kranlar,Yuqori sifatli ehtiyot qism,
product-65,Gaz klapn atiker xitoy,4.5,Klapanlar va Kranlar,Yuqori sifatli ehtiyot qism,
product-66,Gaz klapn Belarussiya xitoy,6.0,Klapanlar va Kranlar,Yuqori sifatli ehtiyot qism,
product-67,Gaz Klapn Lavato,5.0,Klapanlar va Kranlar,Yuqori sifatli ehtiyot qism,
product-68,Gaz Klapn NAZORATI turk,4.5,Klapanlar va Kranlar,Yuqori sifatli ehtiyot qism,
